Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-03-11,1788.7100830078125,1819.4726540114775,1757.8560911131785,1769.7582417300907,6796449
2020-03-12,1620.3865966796875,1747.236129231781,1609.8577687457566,1743.2076857569323,8728786
2020-03-13,1653.758544921875,1666.301539276661,1378.8645684560413,1545.3573674869594,8029720
2020-03-16,1553.1392822265625,1686.6722479977382,1534.3246821161556,1606.790498160418,7844271
2020-03-17,1517.98193359375,1584.8170850728475,1486.0750377399283,1583.901535052586,5713248
2020-03-18,1514.6861572265625,1568.840969761291,1490.2867239129498,1535.1945024881834,7258778
2020-03-19,1509.1065673828125,1554.3885038393103,1426.4739315705008,1438.4168879382335,5135111
2020-03-20,1657.679443359375,1723.665728561038,1500.483756216591,1503.2504748820181,8547498
2020-03-23,1539.86328125,1613.919159724589,1491.9529832254022,1494.0280221450482,7003490
2020-03-24,1570.71240234375,1632.364097287848,1505.8789132224992,1524.5082207496923,6350865
2020-03-25,1614.196044921875,1669.253704966043,1549.362554885609,1567.8073472056758,2765520
2020-03-26,1651.6846923828125,1689.5888237125841,1588.6036042777384,1689.1737484146477,4556067
2020-03-27,1682.626220703125,1706.143331488507,1614.2882859953368,1678.476142329234,4331250
2020-03-30,1640.203125,1756.8664341439414,1626.4156880414919,1628.6751300253022,8513547
2020-03-31,1684.1014404296875,1710.7541831025299,1641.5862242169828,1694.5227912663331,3927593
2020-04-01,1575.8768310546875,1692.0790143541115,1569.6517140922183,1683.9172168522657,4941878
2020-04-03,1525.568359375,1604.696544351846,1521.6949989543366,1604.696544351846,5735369
2020-04-07,1637.15966796875,1646.9815420748616,1572.418494065438,1577.0296919952486,5427577
2020-04-08,1572.833251953125,1665.564475272646,1568.7293313614457,1623.141459844882,6285615
2020-04-09,1628.813232421875,1640.4795840178672,1596.5808959928818,1614.3340054630262,5307397
2020-04-13,1622.4500732421875,1648.0422230403803,1610.2303981133207,1624.0639925988303,2990438
2020-04-15,1600.223876953125,1671.0979593930049,1593.445439202988,1646.1974931106588,4761399
2020-04-16,1582.609130859375,1627.6605076868498,1544.79731155402,1576.9833798758837,6245533
2020-04-17,1665.749267578125,1707.9417330038134,1616.6861615569744,1660.0314265844574,9895823
2020-04-20,1677.2310791015625,1687.6984760961611,1662.3368869744975,1687.6984760961611,3244282
2020-04-21,1602.5296630859375,1655.0511632625912,1593.3533115212088,1627.7528936245037,5122541
2020-04-22,1631.90283203125,1650.808742207368,1585.4680946752762,1602.5295258098215,3829836
2020-04-23,1732.1964111328125,1752.255121071393,1623.9254669257348,1641.5863765826734,5934366
2020-04-24,1677.1387939453125,1707.9415051331544,1667.2247186925968,1697.5663101012424,2987102
2020-04-27,1693.784912109375,1729.1989286844434,1683.0869572528584,1689.8193501130918,3374741
2020-04-28,1714.489501953125,1722.7435009978767,1690.0961980029665,1719.9767823131906,2678505
2020-04-29,1757.466064453125,1763.8295407453375,1706.189560884873,1728.2771561361685,4241510
2020-04-30,1857.8052978515625,1873.9906459519098,1791.1734946182823,1826.0341924137704,5915544
2020-05-04,1780.3372802734375,1813.1229410494816,1764.8437235020535,1813.1229410494816,3729348
